layer,neuron,input_a,input_b,gate_id,gate_name
1,0,32,0,9,not_xor
1,1,50,25,5,b
1,2,25,32,1,and
1,3,80,0,5,b
1,4,25,14,9,not_xor
1,5,42,19,12,not_a
1,6,56,55,8,not_or
1,7,40,26,7,or
1,8,11,38,13,implies
1,9,77,41,5,b
1,10,72,31,11,implied_by
1,11,5,6,6,xor
1,12,52,3,15,one
1,13,9,38,13,implies
1,14,18,49,4,not_implied_by
1,15,23,55,10,not_b
1,16,13,17,3,a
1,17,49,15,5,b
1,18,36,16,13,implies
1,19,51,57,0,zero
1,20,33,6,8,not_or
1,21,82,31,5,b
1,22,70,86,3,a
1,23,35,18,5,b
1,24,40,10,14,not_and
1,25,1,28,2,not_implies
1,26,55,26,14,not_and
1,27,38,6,12,not_a
1,28,77,24,6,xor
1,29,46,7,11,implied_by
1,30,42,13,2,not_implies
1,31,81,18,10,not_b
1,32,51,75,6,xor
1,33,48,78,4,not_implied_by
1,34,61,23,10,not_b
1,35,17,39,4,not_implied_by
1,36,31,80,1,and
1,37,7,59,8,not_or
1,38,15,42,5,b
1,39,9,81,13,implies
1,40,51,15,11,implied_by
1,41,42,72,7,or
1,42,16,17,6,xor
1,43,59,1,0,zero
1,44,81,4,7,or
1,45,87,77,10,not_b
1,46,20,1,2,not_implies
1,47,17,16,7,or
1,48,59,57,14,not_and
1,49,13,64,7,or
1,50,12,27,14,not_and
1,51,68,60,2,not_implies
1,52,87,78,15,one
1,53,72,51,8,not_or
1,54,18,1,12,not_a
1,55,28,86,8,not_or
1,56,28,44,7,or
1,57,42,15,13,implies
1,58,67,28,12,not_a
1,59,40,63,8,not_or
1,60,85,61,5,b
1,61,79,88,5,b
1,62,11,14,2,not_implies
1,63,89,60,4,not_implied_by
1,64,35,80,4,not_implied_by
1,65,5,68,7,or
1,66,7,79,5,b
1,67,50,5,1,and
1,68,68,64,0,zero
1,69,70,13,10,not_b
1,70,81,60,3,a
1,71,2,38,13,implies
1,72,39,44,13,implies
1,73,68,32,1,and
1,74,74,44,15,one
1,75,87,49,11,implied_by
1,76,13,37,14,not_and
1,77,45,4,9,not_xor
1,78,24,65,4,not_implied_by
1,79,47,81,13,implies
1,80,70,22,11,implied_by
1,81,50,82,0,zero
1,82,32,87,1,and
1,83,6,79,15,one
1,84,89,69,12,not_a
1,85,54,76,5,b
1,86,50,85,11,implied_by
1,87,87,49,8,not_or
1,88,79,86,6,xor
1,89,6,6,14,not_and
1,90,74,81,6,xor
1,91,42,6,3,a
1,92,84,29,0,zero
1,93,51,52,3,a
1,94,86,5,10,not_b
1,95,1,86,6,xor
1,96,27,30,2,not_implies
1,97,41,80,6,xor
1,98,49,45,6,xor
1,99,40,31,12,not_a
1,100,41,56,8,not_or
1,101,81,16,9,not_xor
1,102,79,22,4,not_implied_by
1,103,2,31,2,not_implies
1,104,10,84,6,xor
1,105,20,3,11,implied_by
1,106,22,80,8,not_or
1,107,59,11,5,b
1,108,55,80,12,not_a
1,109,57,80,0,zero
1,110,34,2,1,and
1,111,1,18,14,not_and
1,112,56,48,1,and
1,113,23,35,1,and
1,114,16,23,2,not_implies
1,115,48,38,15,one
1,116,68,24,4,not_implied_by
1,117,4,18,11,implied_by
1,118,11,58,6,xor
1,119,43,81,4,not_implied_by
1,120,20,62,11,implied_by
1,121,49,71,12,not_a
1,122,27,82,12,not_a
1,123,47,9,2,not_implies
1,124,57,20,5,b
1,125,7,74,11,implied_by
1,126,32,44,9,not_xor
1,127,83,36,2,not_implies
1,128,12,58,2,not_implies
1,129,28,87,10,not_b
1,130,52,17,5,b
1,131,29,79,0,zero
1,132,33,68,3,a
1,133,34,55,5,b
1,134,54,57,0,zero
1,135,1,19,5,b
1,136,63,52,8,not_or
1,137,19,47,8,not_or
1,138,38,2,10,not_b
1,139,31,66,8,not_or
1,140,8,80,13,implies
1,141,64,7,10,not_b
1,142,36,2,10,not_b
1,143,81,70,8,not_or
1,144,30,70,9,not_xor
1,145,18,42,14,not_and
1,146,37,81,1,and
1,147,22,5,4,not_implied_by
1,148,37,45,8,not_or
1,149,19,15,5,b
1,150,0,19,1,and
1,151,13,49,10,not_b
1,152,61,87,13,implies
1,153,80,4,7,or
1,154,4,59,10,not_b
1,155,31,83,14,not_and
1,156,73,71,5,b
1,157,74,9,8,not_or
1,158,80,25,10,not_b
1,159,60,26,13,implies
1,160,43,54,1,and
1,161,51,86,7,or
1,162,8,48,2,not_implies
1,163,33,3,4,not_implied_by
1,164,51,19,13,implies
1,165,56,16,0,zero
