layer,neuron,input_a,input_b,gate_id,gate_name
1,0,57,75,13,implies
1,1,35,42,5,b
1,2,37,49,1,and
1,3,59,74,5,b
1,4,18,37,15,one
1,5,6,32,12,not_a
1,6,71,80,9,not_xor
1,7,30,40,7,or
1,8,29,50,13,implies
1,9,24,44,14,not_and
1,10,67,68,12,not_a
1,11,6,14,1,and
1,12,83,85,10,not_b
1,13,64,70,13,implies
1,14,71,72,3,a
1,15,21,35,9,not_xor
1,16,39,45,3,a
1,17,53,76,5,b
1,18,54,76,6,xor
1,19,0,25,0,zero
1,20,13,23,8,not_or
1,21,27,39,5,b
1,22,38,57,3,a
1,23,82,89,6,xor
1,24,15,17,14,not_and
1,25,73,89,5,b
1,26,16,35,14,not_and
1,27,7,20,8,not_or
1,28,14,19,14,not_and
1,29,8,16,13,implies
1,30,49,72,9,not_xor
1,31,23,35,10,not_b
1,32,2,8,6,xor
1,33,27,28,3,a
1,34,52,65,13,implies
1,35,52,69,11,implied_by
1,36,35,39,1,and
1,37,18,26,8,not_or
1,38,47,60,5,b
1,39,45,49,8,not_or
1,40,65,82,8,not_or
1,41,20,35,6,xor
1,42,37,42,6,xor
1,43,51,53,15,one
1,44,17,34,7,or
1,45,16,22,4,not_implied_by
1,46,58,60,11,implied_by
1,47,17,35,6,xor
1,48,74,89,9,not_xor
1,49,51,70,7,or
1,50,81,89,4,not_implied_by
1,51,55,57,4,not_implied_by
1,52,72,85,12,not_a
1,53,58,81,7,or
1,54,40,53,4,not_implied_by
1,55,5,32,11,implied_by
1,56,65,88,7,or
1,57,78,82,13,implies
1,58,9,27,12,not_a
1,59,72,86,13,implies
1,60,2,21,5,b
1,61,46,58,5,b
1,62,8,22,2,not_implies
1,63,15,27,12,not_a
1,64,51,76,2,not_implies
1,65,53,69,7,or
1,66,30,39,5,b
1,67,53,64,3,a
1,68,6,11,0,zero
1,69,73,79,5,b
1,70,12,27,11,implied_by
1,71,30,52,13,implies
1,72,80,86,10,not_b
1,73,61,74,11,implied_by
1,74,9,31,15,one
1,75,42,51,13,implies
1,76,58,70,14,not_and
1,77,61,62,10,not_b
1,78,43,64,4,not_implied_by
1,79,36,46,13,implies
1,80,8,11,4,not_implied_by
1,81,51,61,0,zero
1,82,47,73,4,not_implied_by
1,83,47,72,6,xor
1,84,62,84,12,not_a
1,85,22,48,4,not_implied_by
1,86,69,82,11,implied_by
1,87,57,67,6,xor
1,88,41,56,2,not_implies
1,89,67,71,14,not_and
1,90,83,89,14,not_and
1,91,55,70,3,a
1,92,17,26,13,implies
1,93,10,26,13,implies
1,94,33,55,10,not_b
1,95,8,23,6,xor
1,96,55,58,15,one
1,97,47,50,0,zero
1,98,18,35,9,not_xor
1,99,10,21,9,not_xor
1,100,74,78,10,not_b
1,101,49,73,9,not_xor
1,102,81,83,3,a
1,103,44,47,7,or
1,104,60,65,6,xor
1,105,62,66,2,not_implies
1,106,38,63,2,not_implies
1,107,62,65,5,b
1,108,10,33,9,not_xor
1,109,16,31,0,zero
1,110,36,55,1,and
1,111,61,68,14,not_and
1,112,75,80,6,xor
1,113,62,73,11,implied_by
1,114,12,23,9,not_xor
1,115,5,31,15,one
1,116,14,23,5,b
1,117,83,86,8,not_or
1,118,51,52,6,xor
1,119,36,41,4,not_implied_by
1,120,59,67,11,implied_by
1,121,51,74,2,not_implies
1,122,54,67,12,not_a
1,123,29,46,14,not_and
1,124,25,31,5,b
1,125,8,28,8,not_or
